Artist,Gender
Dht,band
Wayne Newton,man
Joan Jett And The Blackhearts,woman
Tones And I,woman
Peter Cetera,man
Switchfoot,band
M.I.A.,woman
Drs,band
The Floaters,band
John Waite,man
6Ix9Ine,man
Darius Rucker,man
Los Del Río,band
Bobby Darin,man
Exposé,band
Dua Lipa,woman
Better Than Ezra,band
Hurricane Chris,man
Wynter,woman
Christie,band
Bobby Vinton,man
Jewel Akens,man
Salt-N-Pepa,band
James Brown,man
Juice Wrld,man
Sheila E.,woman
4 Non Blondes,band
Cutty,man
Paul Anka,man
Eric Carmen,man
Chuck Berry,man
Jp Saxe,man
Faith Evans,woman
Bread,band
Metro Station,band
The 5Th Dimension,band
Cash Out,man
Benee,woman
Lil Dicky,man
Fort Minor,band
Phoebe Snow,woman
Manfred Mann,band
The Human League,band
Paula Cole,woman
Diamond Rio,band
Vanessa Williams,woman
Spragga Benz,man
Chris Rea,man
The Escape Club,band
Thompson Square,band
Jane Child,woman
Sister Janet Mead,woman
Stealers Wheel,band
Flume,man
People!,band
Yo Gotti,man
The Band Perry,band
Joey Lawrence,man
B.J. Thomas,man
Mark Chesnutt,man
Daniel Bedingfield,man
Hi-Five,band
Do Or Die,band
Stray Cats,band
3T,band
Rita Coolidge,woman
Cascada,band
Sammy Hagar,man
The Carpenters,band
Dionne Warwick,woman
Nigel Olsson,man
Bobby Valentino,man
Cream,band
The Association,band
Snoop Dogg,man
Joe Jackson,man
Bobby 'Boris' Pickett,man
J. Holiday,man
Havana Brown,woman
Take That,band
Debbie Gibson,woman
Keyshia Cole,woman
Stevie Wonder,man
Britney Spears,woman
Lil Uzi Vert,non-binary
The Music Explosion,band
Ice Cube,man
Big Brother And The Holding Company,band
Puff Daddy,man
Shirley Bassey,woman
Lloyd Banks,man
Tears For Fears,band
Megan Thee Stallion,woman
Various Artists,band
Ll Cool J,man
Ava Max,woman
Brendon Urie,man
S Club 7,band
Hozier,man
Paul Mccartney,man
Lonestar,band
3 Doors Down,band
The Cyrkle,band
Neon Hitch,woman
Tinashe,woman
Gerardo,man
Soft Cell,band
War,band
The Guess Who,band
Jack Harlow,man
Foxy,band
Cody Johnson,man
X Ambassadors,band
Lea,woman
Tlc,band
Jeremy Jordan,man
Soul Survivors,band
All-4-One,band
Enya,woman
Bonnie Raitt,woman
Keith,man
Jo Dee Messina,woman
Ty Dolla Sign,man
William Devaughn,man
Jade,woman
Ace Hood,man
Mo Thugs,band
Silver,band
Keith Sweat,man
Bobby Goldsboro,man
John Cougar,man
Incubus,band
After 7,band
Ellie Goulding,woman
Jewel,woman
Plies,man
Wet Willie,band
Roger Miller,man
Jhené Aiko,woman
Edison Lighthouse,band
Adele,woman
Robert Palmer,man
Giveon,man
Bts,band
Sons Of Funk,band
Rome,woman
Inner Circle,band
Pablo Cruise,band
Ashford & Simpson,band
Joan Osborne,woman
Rozes,woman
P.M. Dawn,band
Corey Kent,man
Mel And Tim,band
Wings,band
Jerry Reed,woman
Londonbeat,band
Alannah Myles,woman
Bobbie Gentry,woman
Andrea True Connection,woman
Ya Kid K,woman
Jadakiss,man
Spiral Starecase,band
Delbert Mcclinton,man
Mary Mary,band
Quad City Dj'S,band
The Happenings,band
El Debarge,man
Trey Songz,man
Firefall,band
Sixpence None The Richer,band
Sza,woman
"Hamilton, Joe Frank & Reynolds",band
Keith Carradine,man
Harry Styles,man
Onerepublic,band
O.T. Genasis,man
Jimmy Ruffin,man
Spotemgottem,man
Ying Yang Twins,band
Tom T. Hall,man
The Turtles,band
Filter,band
Fine Young Cannibals,band
Hanson,band
Celine Dion,woman
Shaun Cassidy,man
Gillette,woman
Labelle,band
Jojo,woman
The-Dream,man
Bone Thugs-N-Harmony,band
Fun,band
Voices Of Theory,band
Bad English,band
Zacari,man
Al Wilson,man
Petula Clark,woman
Muni Long,woman
112,band
Diana King,non-binary
Xxxtentacion,man
The Grass Roots,band
Em Beihold,woman
Soulja Slim,man
David Bowie,man
Elliott Yamin,man
A Boogie Wit Da Hoodie,man
Vicki Lawrence,woman
Gerry And The Pacemakers,band
Donny Osmond,man
Harry Chapin,man
Akon,man
Skid Row,man
Beyoncé,woman
Kansas,man
Joe South,man
Tower Of Power,band
Golden Earring,band
Samantha Mumba,woman
Swv,band
Macy Gray,woman
Brad Paisley,man
Tyla,woman
Brenda K. Starr,woman
Dream,man
Orchestral Manoeuvres In The Dark,band
Eric Turner,man
Al B. Sure!,man
Mötley Crüe,band
Meco,man
Oliver Anthony Music,man
Lfo,band
Madness,band
The Doobie Brothers,band
The Righteous Brothers,band
Musical Youth,band
Original Cast Of Godspell,band
Kenny Rogers,man
Wild Cherry,band
Gavin Degraw,man
Europe,band
Ace Frehley,man
Rodney Atkins,man
Deee-Lite,band
Lauryn Hill,woman
Thomas Dolby,woman
Clint Holmes,man
Ayo & Teo,band
The American Breed,band
We Five,band
Grand Funk Railroad,band
Rufus & Chaka Khan,band
Edie Brickell & New Bohemians,band
Vicki Sue Robinson,woman
Perry Como,man
Total,band
The Ad Libs,band
Aaron Hall,man
Duncan Sheik,man
Avril Lavigne,woman
Yung Bleu,man
Az Yet,band
Kt Tunstall,woman
Naked Eyes,band
General Public,band
Five Americans,band
Robin Thicke,man
Yfn Lucci,man
Tate Mcrae,woman
Wadsworth Mansion,band
Mr. Cheeks,man
Jordin Sparks,woman
Deon Jackson,man
Mel Carter,man
Heavy D,man
Sam & Dave,band
Gunna,man
The Main Ingredient,band
Masked Wolf,man
Men Without Hats,band
Randy Newman,man
Free,band
Bob Seger,man
Sylvia Robinson,woman
Miley Cyrus,non-binary
Doja Cat,woman
The Verve Pipe,band
Yvonne Elliman,woman
James Arthur,man
Aaron Neville,man
Boy Meets Girl,band
The Kid Laroi,man
B.W. Stevenson,man
Shop Boyz,band
Aretha Franklin,woman
Buckcherry,band
Bounty Killer,man
Brenda Lee,woman
Parmalee,band
Kenny Rogers & The First Edition,band
Olly Murs,man
Luscious Jackson,band
Soulja Boy Tell 'Em,man
Bachman–Turner Overdrive,band
Ian Whitcomb,man
Dionne Farris,woman
Queensrÿche,band
Another Bad Creation,band
Yung Joc,man
Atr Son Son,man
Toto,band
Hayley Williams,woman
8Th Day,band
Club Nouveau,band
Dustin Lynch,man
Jon Bellion,man
Uncle Kracker,man
Badfinger,band
Sister Hazel,band
The Brotherhood Of Man,band
Michel'Le,woman
Marian Hill,band
Carole King,woman
The Mills Brothers,band
Love And Rockets,band
Static Major,man
Cheap Trick,band
Artemas,man
Crash Test Dummies,band
Edmee,woman
Eamon,man
America,band
Dj Snake,man
Chic,band
Huey Lewis And The News,band
Herb Alpert,man
Shakespears Sister,band
Ringo Starr,man
Manfred Mann'S Earth Band,band
The Lox,band
Santana,band
Coi Leray,woman
Jibbs,man
Digable Planets,band
Dean Friedman,man
Maxine Nightingale,woman
Def Leppard,band
Bazuka,band
Koe Wetzel,man
Hot Chelle Rae,band
The Blackout All-Stars,band
Toya,woman
Jodeci,band
Nina Sky,band
Paul Stookey,man
Monifah,woman
Classics Iv,band
Dennis Coffey,man
Red Hot Chili Peppers,band
Hunter Hayes,man
Joji,man
Barry White,man
B.O.B,man
Dababy,man
Asia,man
Jennifer Nettles,woman
Ella Henderson,woman
Sunshine Anderson,woman
The Smashing Pumpkins,band
Minnie Riperton,woman
Calloway,band
Technotronic,band
Jagged Edge With Nelly,man
White Plains,band
Lenny Kravitz,man
Rickie Lee Jones,woman
Tal Bachman,man
Ilovememphis,man
Stars On 45,band
The Romantics,band
Fergie,woman
Abc,band
The Jeff Healey Band,man
Bell Biv Devoe,band
Colby O'Donis,man
Russell Dickerson,man
Jvke,man
Vance Joy,man
Brooks & Dunn,band
Kathy Troccoli,woman
Survivor,band
Patti Page,woman
Craig David,man
Gavin Rossdale,man
Big Sean,man
Christina Perri,woman
Dj Sammy,man
Josey Scott,man
Chris Brown,man
Cam'Ron,man
Merrilee Rush,woman
Barry Mcguire,man
Young Dolph,man
The Rascals,band
Pearl Jam,band
Darryl Worley,man
Selena Gomez & The Scene,band
Nitti,man
Melissa Etheridge,woman
Sammy Johns,man
Mario,man
Suzanne Vega,woman
Eddy Grant,man
Dan Hill,man
The Power Station,band
David Gates,man
Benny Mardones,man
Klymaxx,band
Usher,man
Jennifer Warnes,woman
Bob Seger & The Silver Bullet Band,man
Soul For Real,band
Lauren Daigle,woman
Norman Greenbaum,man
Erykah Badu,woman
Swedish House Mafia,band
Ne-Yo,man
Juice Newton,woman
Niall Horan,man
Kongos,band
Moving Pictures,band
The Spencer Davis Group,band
Ed Ames,man
Junior Walker & The All Stars,man
Fleetwood Mac,band
Steve Miller Band,band
Crucial Conflict,band
Ruth B,woman
Moneybagg Yo,man
Thrust,man
Baby Boy Da Prince,man
Joey Mcintyre,man
Planet Soul,band
Ariana Grande,woman
The Manhattans,band
Cheryl Lynn,woman
Neneh Cherry,woman
Soul Ii Soul,band
Meek Mill,man
The Royal Guardsmen,band
Anthony Hamilton,man
The Crazy World Of Arthur Brown,band
Jim Jones,man
Clay Aiken,man
Tommy Page,man
Steve Forbert,man
Lil' Mo,woman
Dino,man
Kenny Chesney,man
Missy Elliott,woman
Sam Smith,non-binary
Logic,man
Thalía,woman
Jud Strunk,man
Phillip Phillips,man
Portrait,band
Nickelback,band
Saint Jhn,man
Kylie Minogue,woman
Wayne Wonder,man
Angie Martinez,woman
Sara Bareilles,woman
Ceelo Green,man
The Jackson 5,band
Rascal Flatts,band
Swae Lee,man
Redman,man
Jimmy Buffett,man
George Ezra,man
Eric Clapton,man
Tom Cochrane,man
Crystal Waters,woman
Mike + The Mechanics,band
The Mccoys,band
Parliament,band
Shaboozey,man
Mary Hopkin,woman
Brewer & Shipley,band
Yg,man
Chris Stapleton,man
Brenda Russell,woman
Jess Glynne,woman
Eric Burdon & War,band
Lynyrd Skynyrd,band
Neon Trees,band
Bryan Adams,man
Sheck Wes,man
Trillville,band
Eric Church,man
Jon Pardi,man
Hellogoodbye,band
Vanity Fare,band
Kajagoogoo,band
Jay Ferguson,man
T-Pain,man
Kevon Edmonds,man
Charlie Rich,man
Thin Lizzy,band
50 Cent,man
Hot Butter,band
Moody Blues,band
Trapt,band
Don Mclean,man
Glen Campbell,man
George Clinton,man
Zager & Evans,band
Mary Jane Girls,band
Montell Jordan,man
Johnny Bristol,man
Of Monsters And Men,band
Monica,woman
H-Town,band
Alessia Cara,woman
Walker Hayes,man
Dickey Lee,man
Fifty Fifty,band
Echosmith,band
Lil Jon,man
Donovan,man
Roger Williams,man
Bobby Caldwell,man
David Naughton,man
3Lw,band
Tom Jones,man
Mims,man
Tony! Toni! Toné!,band
Green Day,band
Eric Benét,man
Len,band
Ashlee Simpson,woman
The Who,band
Raydio,band
Nate Ruess,man
Teddy Geiger,woman
En Vogue,band
Too Short,man
Ready For The World,band
Gary Wright,man
Lil Wayne,man
M,band
Eve 6,band
Lisa Stansfield,woman
Mr. Mister,band
Florence Welch,woman
Force Mds,band
Larry Groce,man
Eternal,band
Jean Knight,woman
Peter Schilling,man
The Lovin' Spoonful,band
Pink,woman
Mike Post,man
Hardy,man
Jd Souther,man
Roxette,band
Youngboy Never Broke Again,man
The Wanted,band
The Weeknd,man
Dorothy Moore,woman
Jody Watley,woman
Jive Bunny And The Mastermixers,band
Supertramp,band
Lsg,band
Lamont Dozier,man
Van Morrison,man
Dwight Twilley Band,man
La Roux,band
Scandal,band
The Osmonds,band
Young Gunz,band
Peter Gabriel,man
James Bay,man
Gotye,man
The Chambers Brothers,band
Frank Stallone,man
James Taylor,man
Mariah Carey,woman
Alanis Morissette,woman
Paper Lace,band
Bebe Rexha,woman
Bobbi Martin,woman
Joe Tex,man
3Oh!3,band
Lil' Romeo,man
Natalie Cole,woman
Bananarama,band
Pacific Gas & Electric,band
Junior M.A.F.I.A.,band
The O'Jays,band
Sandy Posey,woman
The Casinos,band
Seduction,band
Dj Kool,man
Chingy,man
A-Ha,band
Rocky Burnette,man
Brick,band
Eddie Money,man
Portugal. The Man,band
Harold Faltermeyer,man
Jessica Darrow,woman
Maddie & Tae,band
Thelma Houston,woman
Tucker Wetmore,man
Unk,man
Staind,band
Ratt,band
Frank Sinatra,man
The Vogues,band
Ub40,band
O-Town,band
The Capitols,band
Billy Swan,man
Fifth Harmony,band
Pras Michel,man
Culture Club,band
Joe,man
Rich Gang,band
Frijid Pink,band
Bastille,band
Electric Light Orchestra,band
Rod Wave,man
Rita Ora,woman
Walk The Moon,band
Focus,band
Bruno Mars,man
Bob Seger And The Silver Bullet Band,man
Olivia Rodrigo,woman
The Edgar Winter Group,man
Johnny Gill,man
Barbara Lewis,woman
C+C Music Factory,band
Ryan Cabrera,man
David Cook,man
Anita Ward,man
Robin S.,woman
Andy Gibb,man
Gallery,band
Bruce Willis,man
The Marshall Tucker Band,band
Sleepy Brown,man
Spice Girls,band
Ray Dalton,man
The Young Rascals,band
The Foundations,band
Daughtry,band
Kyle,man
Post Malone,man
10Cc,band
Rod Stewart,man
Teena Marie,woman
Greg Guidry,man
Orianthi,woman
Debby Boone,woman
Tone Loc,man
Train,band
Blink-182,band
Roman Gianarthur,man
Danity Kane,band
Blues Traveler,band
Sounds Orchestral,band
The Calling,band
Glorilla,woman
"Blood, Sweat & Tears",band
The Scotts,man
Cliff Richard,man
Kelly Clarkson,woman
A Taste Of Honey,band
The Alan Parsons Project,band
Heart,band
Michael Damian,man
The Game,man
Emeli Sandé,woman
Wanz,man
Sade,woman
Richard Harris,man
Nirvana,band
Enrique Iglesias,man
Eruption,band
Juicy J,man
Neil Sedaka,man
Nate Smith,man
Lee Ann Womack,woman
Paul Simon,man
Taco,man
Tara Kemp,woman
Bobby Brown,man
Mint Condition,band
Don Henley,man
Dmx,man
Stephen Sanchez,man
G-Eazy,man
Chamillionaire,man
Rick Springfield,man
Wham!,band
Natalie,woman
Lil' Flip,man
The Jets,band
Iggy Azalea,woman
Argent,man
Pink Floyd,band
Chad Kroeger,man
Jim Stafford,man
Glass Animals,band
Naughty By Nature,band
24Kgoldn,man
Pitbull,man
Boys Like Girls,band
Pretty Poison,band
Judy Collins,woman
Five,band
Elvis Presley,man
Daddy Dewdrop,man
2 Pistols,man
O. C. Smith,man
Tee-Set,band
The Box Tops,band
Coolio,man
Kevin Rudolf,man
Bruce Springsteen,man
The Dave Clark Five,band
The Originals,band
The Whispers,band
Deborah Cox,woman
No Mercy,band
Collective Soul,band
Ugly Kid Joe,band
Bill Conti,man
Grand Funk,band
Chris Isaak,man
Psy,man
Lynn Anderson,woman
Nancy Sinatra,woman
The Tremeloes,band
The Red Jumpsuit Apparatus,band
Magic!,band
Jimmy Cliff,man
The Beatles,band
Ramsey Lewis Trio,man
The Yardbirds,band
The Click Five,band
Melissa Manchester,woman
Clarence Carter,man
The Hombres,band
Sammy Davis Jr.,man
Debarge,band
Ajr,band
Spin Doctors,band
Beck,man
French Montana,man
Amy Winehouse,woman
K. P. & Envyi,band
The Chakachas,band
Duice,band
Regina,woman
Jay-Z,man
Gene Chandler,man
Fabolous,man
Natural Selection,band
Lmfao,band
Webbie,man
Blocboy Jb,man
Royal Philharmonic Orchestra,man
Lil Durk,man
Taio Cruz,man
Adam Levine,man
N.O.R.E.,man
Vikki Carr,woman
Charlie Dore,woman
Little Anthony And The Imperials,band
Solé,woman
Mc Hammer,man
Aqua,band
Matthew Santos,man
Dr. Buzzard'S Original Savannah Band,band
Nena,woman
B2K,band
Childish Gambino,man
Next,band
Dave Matthews Band,band
Redbone,band
The Intruders,band
Niko Moon,man
Case,man
The Youngbloods,band
Rauw Alejandro,man
Mountain,band
The Moments,band
Deodato,man
Zedd,man
Fantasia,woman
T.I.,man
Travie Mccoy,man
Pretty Ricky,band
Mooski,man
Breathe,band
Kiss,band
Natasha Bedingfield,woman
Jon Secada,man
City Girls,band
Elvin Bishop,man
Toad The Wet Sprocket,band
Naughty Boy,man
Shanice,woman
Joan Jett & The Blackhearts,band
Bob Welch,man
Smokey Robinson,man
Toni Braxton,woman
Derek And The Dominos,band
Mfsb,band
Bobby Hebb,man
Mitch Ryder & The Detroit Wheels,band
City Spud,band
Cali Swag District,band
Jimmy Eat World,band
Cat Stevens,man
Playboi Carti,man
Herman'S Hermits,band
R.E.M.,band
Michael Murphey,man
Mark Morrison,man
T-Wayne,man
Snap!,band
Billy Ray Cyrus,man
Mellow Man Ace,man
The Cure,band
Mustard,man
The Cranberries,band
100 Proof,band
Martha And The Vandellas,band
Sylk-E. Fyne,woman
Asher Roth,man
Adam Ant,man
The Pussycat Dolls,band
Saweetie,woman
Haddaway,man
Leo Sayer,man
Wyclef Jean,man
Bobby Womack,man
Eli Young Band,band
The Bangles,band
Richie Havens,man
Ronald Isley,man
Stacey Q,woman
Lil Zane,man
Jamie Foxx,man
The Spinners,band
Men At Work,band
One Direction,band
Goo Goo Dolls,band
Chairmen Of The Board,band
Ja Rule,man
Pharrell,man
Kimbra,woman
Betty Wright,woman
Måneskin,band
Jeremih,man
The Supremes,band
Sugar Ray,band
James Ingram,man
The B-52'S,band
Procol Harum,band
Jake Owen,man
Jackson Browne,man
Right Said Fred,band
Gina G,woman
Evanescence,band
Rocko,man
The Detroit Emeralds,band
Dr. Hook & The Medicine Show,band
Marty Balin,man
Vanessa Carlton,woman
Kodak Black,man
D4L,band
Rae Sremmurd,band
Starship,band
Los Lobos,band
Del Shannon,man
Edwin Hawkins Singers,man
Andy Kim,band
Dobie Gray,man
John Cougar Mellencamp,man
The Cowsills,band
Jay & The Techniques,band
Billy Joe Royal,man
Starbuck,band
Andrew Gold,man
Buckner & Garcia,band
Matchbox Twenty,band
Nelly Furtado,woman
The Zombies,band
The Fireballs,band
42 Dugg,man
4Batz,man
6Lack,man
8Ball,man
A Great Big World,band
Adam Clayton,man
Adassa,woman
Afrojack,man
Ali,band
Alunageorge,band
Amil,woman
Ann Wilson,woman
Anne-Marie,woman
B-Rock and The Bizz,band
B. J. Thomas,man
Barry Gibb,man
Benny Blanco,man
Big Boi,man
Bill,unknown
Bill Medley,man
Billy Davis Jr.,man
Billy Vera,man
Birdman,man
Bizarrap,man
Blinky Blink,band
Blue Ridge Rangers,woman
Bobby Hart,unknown
Bomba Estéreo,band
Booker T. and the M.G.'s,band
Bradley Cooper,man
Brasil '66,man
Bravehearts,band
Brenda Lee Eager,woman
Brooklyn Dreams,band
Bruce Hornsby,man
Carl Anderson,unknown
Carly Pearce,woman
Carolina Gaitán,woman
Carr,unknown
Casper Mágico,unknown
Cece Winans,woman
Cee Lo Green,man
Charlay,unknown
Charles Wright,man
Charli Baltimore,woman
Charlie Wilson,unknown
Chencho Corleone,man
Chill,unknown
Chris Norman,man
Chris Young,unknown
Crime Mob,band
Cris Mj,man
Cédric Gervais,man
D Mob,man
Daniel Caesar,man
Dara Sedaka,man
Darell,unknown
Dazy,unknown
Descemer Bueno,man
Diane Guerrero,woman
Diplo,man
Disciples,band
Divine,unknown
Dj Frank E,unknown
Dj Jazzy Jeff,unknown
Do,unknown
Domino,unknown
Don Toliver,man
Donny,unknown
Donny Hathaway,man
Dottie West,woman
Earth,band
Eric Nally,band
Eric Weissberg,man
Ers,unknown
Eslabon Armado,band
Fatman Scoop,man
Fiend,unknown
Fire,unknown
Floyymenor,unknown
Foxy Brown,unknown
Frank Ocean,man
Franke,unknown
Freekey Zekey,man
Fuerza Regida,band
Gabrielle,unknown
Gente De Zona,band
George Duke,man
Gipp,unknown
Gloria Loring,woman
Goonrock,man
Grandmaster Caz,man
Grey,man
Grover Washington,man
Grupo Frontera,band
Hailee Steinfeld,woman
Hammer,unknown
Commander Cody and His Lost Planet Airmen,band
Hollis,unknown
Holly Brook,woman
I-20,unknown
Infared,unknown
Internet Money,band
J Balvin,man
Jabba,unknown
James Blake,unknown
Janet,unknown
Jawsh 685,man
Jay and the Americans,band
Jay Rock,man
Jd,unknown
Jermaine Dupri,man
Jhay Cortez,man
Jid,man
Jnr Choi,man
Johnny Mathis,man
Johnny P.,unknown
Johntá Austin,man
Jonah Matranga,man
Jr.,unknown
Julio Iglesias,man
K-Ci,man
Kandi Girl,woman
Kanye West[A],unknown
Katelyn Brown,man
Katie Kissoon,man
Kc,unknown
Kevin Mccall,unknown
Kidd Kidd,man
Kiki Dee,woman
Kim Petras,woman
Kool Moe Dee,man
Kygo,man
Kyjuan,band
Kyla,unknown
Lana Del Rey,woman
Larry Mullen,man
Lauren Bennett,woman
Leblanc,unknown
Left Eye,woman
Lil Boosie,man
Lil Phat,unknown
Lil' Scrappy,man
Lily Allen,woman
Linda Mccartney,woman
Lita Ford,woman
Lookas,man
Loon,unknown
Lord Tariq,band
Luis Fonsi,man
Mac,unknown
Mae Muller,woman
Magoo,unknown
Mannie Fresh,man
Marie Osmond,woman
Marilyn Martin,woman
Marilyn Mccoo,unknown
Marshmello,man
Mauro Castillo,unknown
Mcfadden,unknown
Melanie,unknown
Melle Mel,man
Meshell Ndegeocello,woman
Metro Boomin,man
Mia X,woman
Mike Reno,man
Mike Shorey,unknown
Mjg,unknown
Mnek,man
Mocha,unknown
Mr. Big,unknown
Murda Beatz,man
Murphy Lee,unknown
N.E.R.D,band
Natanael Cano,man
Nav,unknown
Nayer,woman
Neiked,band
Neil,unknown
Nicky Jam,man
Nicky Youre,man
Nicole,unknown
Niia,woman
Nio García,unknown
Normani,woman
Odia Coates,woman
Ol' Dirty Bastard,man
Ozuna,man
Ozzy Osbourne,man
Patti Austin,woman
Patti Labelle,woman
Patty Smyth,woman
Paul,unknown
Paul Wall,man
Peanut,unknown
Peter Gunz,band
Philip Bailey,man
Pinkpantheress,woman
Pistol Annies,band
Project Pat,man
Pusha T,man
Q-Tip,unknown
Raiders,unknown
Regina Belle,woman
Rema,unknown
Remy Ma,woman
Rhenzy Feliz,man
Rick Dees,man
Robin Zander,man
Roger,unknown
Roger Troutman,man
Ron Browz,man
Roscoe Dash,man
Ryan Hurd,man
Sacario,man
Sage The Gemini,man
Sam The Sham,man
Sam Tompkins,man
Sasha,unknown
Sean Garrett,man
Siedah Garrett,woman
Silkk The Shocker,man
Sisqo,man
Skrillex,man
Slim Thug,man
Social House,band
Sonny,unknown
Sons Of The Desert,band
Stanley Clarke,man
Stephanie Beatriz,woman
Steve Mandell,man
Summer Walker,woman
Suzi Quatro,woman
Syreeta,woman
Tammi Terrell,woman
Tay Dizm,man
Tems,woman
Teri Desario,woman
John Cafferty and The Beaver Brown Band,band
Freddie and The Dreamers,band
The Encanto Cast,band
Puff Daddy and The Family,band
Kenny Rogers and The First Edition,band
The Fresh Prince,man
The Heights,unknown
Bo Donaldson and The Heywoods,band
Frank and The Knockouts,band
The New Power Generation,band
The Revolution,band
Van Mccoy & The Soul City Symphony,band
Tiara Thomas,woman
Tommy Boyce,band
Tony Orlando,man
Van Mccoy,man
Vita,unknown
Wayne Fontana,man
Whitehead,unknown
Willy William,man
Wind,unknown
Yanou,man
Yng Lvcas,man
Young Buck,man
Zara Larsson,woman
Zay Hilfigerrr,band
Zayion Mccall,unknown
