name,gender
Jaxson Free,unknown
Christian “Davis” Stalnecker,man
Tyler Johnson,man
Kid Harpoon,man
Harry Styles,man
Massimo Gabutti,man
David Guetta,man
KAMILLE,woman
Maurizio Lobina,man
Plested,man
Gianfranco Randone,man
Bebe Rexha,woman
Cashmere Cat,man
Sir Dylan,man
Martin “Doc” McKinney,man
Prince 85,man
The Weeknd,man
Cirkut,man
Omer Fedi,man
Jimmy Napes,man
Blake Slatkin,man
Sam Smith,non-binary
Greg Kurstin,man
Jesse Frasure,man
Levon Gray,man
Ben Burgess,man
Mark Holman,man
Jeff Bhasker,man
Philip Lawrence,man
Ari Levine,man
Albert Winkler,man
Alexis Kesselman,woman
Chris DuBois,man
Rogét Chahayed,man
Steve Kipner,man
Terry Shaddick,man
tizhimself,man
Yeti Beats,man
Lin‐Manuel Miranda,man
Maren Morris,woman
Jimmy Robbins,man
Walker Hayes,man
Luke Laird,man
Shane McAnally,man
Dove Cameron,woman
Delacey,woman
Skyler Stonestreet,woman
Sully,man
Y2K,man
Drew Parker,man
Robert Williford,man
Adele,woman
Karl Ivert,man
NEIKED,group
Polo G,man
Kian Sang,unknown
Von Tiger,unknown
Cheche Alara,man
Edgar Barrera,man
Camila Cabello,woman
Scott Harris,unknown
Ricky Reed,man
Brett Beavers,man
John Morgan,man
Clarence Coffee Jr.,man
Sarah Hudson,woman
Stephen Kozmeniuk,man
Megan Thee Stallion,woman
Nija,woman
OG Parker,man
Richard “P2J” Isong,man
Okiemute Oniko,man
Wizkid,man
Jaren Johnston,man
Dylan Patrice,man
ThankGod4Cody,man
Kate Bush,woman
John Eriksson,man
Brent Kutzle,man
Peter Morén,man
Björn Yttling,man
Jacob Davis,man
Josh Jenkins,man
Matt Jenkins,man
Jerry Leiber,man
Mike Stoller,man
Tim Nichols,man
Thomas Rhett,man
Mark D. Sanders,man
Cole Swindell,man
Bad Bunny,man
Belly,man
DaHeala,man
Oscar Holter,man
Big Freedia,non-binary
Allen George,man
JAY‐Z,man
Fred McFarlane,man
Adam Pigott,man
Christopher Stewart,man
Andrew Bolooki,man
Dre London,unknown
Brian Lee,man
Em Beihold,woman
Dru Decaro,man
Nick Lopez,man
Matt Rogers,man
Ben Stennis,man
Cambo,man
Shane Stevens,man
Marco Borrero,man
"Roberto Rosado ""La Paciencia""",man
KBeaZy,man
Lil Nas X,man
Josh Thompson,man
Sara Davis,unknown
GAYLE,woman
Dave Pittenger,man
Denzel Baptiste,man
David Biral,man
Jack Harlow,man
Nick Lee,man
Ye,man
Robin Fredriksson,man
JID,man
Mattias Larsson,man
Ben McKee,man
Daniel Platzman,man
Dan Reynolds,man
Wayne Sermon,man
Dave Bayley,man
Johnny McDaid,man
Lydia Asrat,woman
Aaron Horn,man
Linden Jay,man
Jidenna,man
Aynzli Jones,man
Elton John,man
Nick Littlemore,man
Sam Littlemore,man
Peter Mayes,man
Bernie Taupin,man
Kal Lavelle,woman
Steve Mac,man
Justin Bieber,man
The Kid LAROI,man
Charlie Puth,man
Subhaan Rahman,unknown
Stephen Hague,man
Ronald Larkins,man
Lizzo,woman
Larry Price,man
Theron Thomas,man
Fergie,woman
Douglas Ford,unknown
Jamal Jones,man
Ludacris,man
Nickie Jon Pabón,unknown
Raheem the Dream,man
José Vélez,man
will.i.am,man
Elvis “Blac Elvis” Williams,man
A1 LaFlare,unknown
Latto,woman
Jon Bellion,man
Jordan Johnson,man
Stefan Johnson,man
Sylvester,man
Emily Warren,woman
BRS Kash,man
Chi Chi,woman
Adam Foster,woman
Casey Beathard,man
Eric Church,man
Monty Criswell,man
Oliver Frid,man
Mr. Franks,man
Tayla Parx,woman
TBHits,man
Lydia Vaughan,woman
FLETCHER,woman
Wouter Hardy,man
Will Knox,man
Duncan Laurence,man
Joel Sjöö,man
Cutfather,man
Daniel Davidsen,man
James Norton,unknown
Cleo Tighe,unknown
Peter Wallevik,man
Rhett Akins,man
Parker Welling,woman
Michael Henderson,man
Joshua Baker,man
Cardi B,woman
Sean Island,unknown
Edis Selmani,unknown
James Steed,unknown
Jordan Thorpe,man
Ron “Neff-U” Feemster,man
Christopher Jefferies,man
Darius Logan,man
Dominique Logan,man
Omarion,man
Demarie Sheki,unknown
Raul Cubina,man
Alexander Izquierdo,man
Ava Max,woman
Hillary Bernstein,woman
Mimoza Blinsson,woman
Desmond Child,man
Jakke Erixson,man
Leland,man
Madison Love,woman
RedOne,man
Cary Barlowe,man
Corey Crowder,man
Chris Young,man
Peggy Farina,woman
Bob Gaudio,man
Ryan Lewis,man
Shay Mooney,man
Jordan Reynolds,man
Dan Smyers,man
Gabby Barrett,woman
Zachary Kale,man
Emily Landis,woman
Jim McCormick,man
Brinley Addington,woman
Jerry Flowers,man
Aaron Dessner,man
Jacob Collier,man
Loshendrix,unknown
Nascent,unknown
Jessica Agombar,woman
David Stewart,man
Blake Harnage,man
Victoria Zaro,woman
Anthony Jones,unknown
Chance the Rapper,man
Jorgen Odegard,unknown
blackbear,man
Andrew Goldstein,man
Joe Kirkland,man
Adam Levine,man
Einer Bankz,man
Murda Beatz,man
Alexander Tsarngshuen Wu,man
Courageous Xavier Herrera,unknown
Peter Lee Johnson,man
Scott Nicholson,unknown
Masked Wolf,man
Angelina Barrett,woman
London on da Track,man
Travis Barker,man
Nick Long,man
mgk,man
Daniel Caesar,man
GIVĒON,man
HARV,unknown
Felisha King,woman
Luis Manuel Martinez Jr,unknown
Sean Leon,man
Aaron Simmonds,unknown
Keavan Yazdani,man
Jenna Andrews,woman
Alex Bilowitz,man
Sebastian Garcia,man
Rob Grimaldi,man
Stephen Kirk,man
Ron Perry,man
RM,man
24kGoldn,man
iann dior,man
Roy Lenzo,man
Joe Jonas,man
Kevin Jonas,man
Nick Jonas,man
Juice WRLD,man
Tyler Reeve,man
Thomas Archer,man
James McNair,man
Brock Berryhill,man
Tyga,man
Wyatt Durrette,man
BENEE,woman
Josh Fountain,man
Djeisan Suskov,unknown
Scooter Braun,man
Whitney Phillips,woman
Gian Stone,man
Freddy Wexler,man
Twysted Genius,man
Lil Baby,man
Max Ernst,man
Spencer Ernst,unknown
Chelsea Lee,woman
CashMoney AP,man
Los Hendrix,man
NLE Choppa,man
Roddy Ricch,man
Forrest Frank,man
Colin Padalecki,man
Audrey Greisham,woman
Russ Hull,man
Sam Hunt,man
Mary Jean Shurtz,unknown
Kurt Cobain,man
Dot da Genius,man
Wheezy,man
Young Thug,man
Madison Font,woman
Taylor Kerr,woman
Deric Ruttan,man
YoungBoy Never Broke Again,man
Khalid,man
Swae Lee,man
Mike WiLL Made‐It,man
D.A. Got That Dope,man
Alejandro Villasana,man
Fuego,man
Michael Tyler,man
Matthew Ramsey,man
Trevor Rosen,man
Brad Tursi,man
Jason Boyd,man
Ashley Joi,woman
Kid Culture,man
Sasha Sirota,man
Steven Cheung,man
Jesse Saint John,man
apl.de.ap,man
J Balvin,man
Francesco Bontempi,man
Pete Glenister,man
Annerley Gordon,woman
Keith Harris,man
Poo Bear,man
Alejandro Guillermo Marambio Altamirano,man
Ant Clemons,man
DaBaby,man
Frank Dukes,man
Savan Kotecha,man
BloodPop®,man
Martin Bresso,man
Matthew James Burns,man
Rami,woman
Alex Ridha,man
Mike Dean,man
Nik Frascona,man
OZ,unknown
ROSALÍA,woman
Charli xcx,woman
Shawn Mendes,man
Jack Patterson,man
Ali Tamposi,woman
Quay Global,man
Shahrukh Zaman Khan,unknown
beabadoobee,woman
Christian Michael Klosterman,unknown
Oscar Lang,man
Powfu,man
jetsonmade,man
Starboy,man
Selena Gomez,woman
Dre Moon,man
Illangelo,man
Metro Boomin,man
Jason Derulo,man
Phil Greiss,man
Jawsh 685,man
40,unknown
Chris Brown,man
Tyler James Bryant,unknown
J‐Louis,man
Michee Patrick Lebrun,unknown
Teddy Walton,man
Andrew Farriss,man
Michael Hutchence,man
Tones and I,woman
Mitch Rowland,man
Jimmy Giannos,man
Dominic Jordan,man
Quavo,man
94Skrt,man
Jae Green,man
Lauren LaRue,woman
Arizona Zervas,man
J. White Did It,man
Bobby Session,unknown
Jr.,unknown
Ayo the Producer,man
James Foye III,man
Frank Ski,man
Thomas Barnes,man
Lewis Capaldi,man
Peter Kelleher,man
Ben Kohn,man
RØMANS,man
SethInTheKitchen,man
Kaan Gunesberk,man
30 Roc,man
Datboisqueeze,unknown
Aqeel Qadir Tate,unknown
Vincent Ford,man
Michael “Mikey” Foster,man
Scootie,man
Chris DeStefano,man
Chase Rice,man
Bazzi,man
Kevin White,man
Michael Woods,man
Jameson Rodgers,man
Alysa Vanderheym,unknown
Nick Mira,man
Bone Collector,man
Crazy Mike,man
Earl on the Beat,man
JT,unknown
Juicy J,man
Lil Yachty,man
Derrick Milano,man
Ty Dolla $ign,man
Matt McGinn,man
Offset,man
Shy Carter,man
Will Weatherly,unknown
Ammar Malik,man
6ix9ine,man
Roark Bailey,man
A Boogie Wit da Hoodie,man
Kevin Richardson,man
Aubrey Robinson,unknown
Lee Brice,man
Kyle Jacobs,man
Quintin Gulledge,unknown
Quinton Gulledge,unknown
Ella Mai,woman
Varren Wade,man
Gordie Sampson,man
Devin Dawson,man
Jamil Digi Chammas,man
Normani,woman
Gino Borri,man
Co,unknown
Aleicia Gibson,unknown
LaMarquis Jefferson,man
Lil Jon,man
Craig Love,unknown
Nevaeh Jolie,woman
Petey Pablo,man
Saweetie,woman
Adam David Small,unknown
Tony Pabón,man
Manny Rodríguez,man
Turbo,man
Flipp Dinero,man
Peter Svensson,man
SMKEXCLSV,unknown
YNW Melly,man
Jon Hume,man
Dean Lewis,man
Michael Angelakos,man
Dillon Francis,man
Sam Hollander,man
Morgan Kibby,woman
Jake Sinclair,man
Brendon Urie,man
Lauren Daigle,woman
Jason Ingram,man
Paul Mabury,man
Calboy,man
Jtk,man
K. Brown,unknown
Ellie Goulding,woman
Thomas Wesley,man
Ava Brignol,unknown
Gaby Music,man
Max Borghetti,man
Ozuna,man
Pardison Fontaine,man
Vicente Saavedra,unknown
DJ Snake,man
Blanco Brown,man
Shahrukh Khan,man
Pharomazan,unknown
Takeoff,man
Robin Davies,man
Jahmeelah Lamb‐Rahming,unknown
J. Cole,man
T‐Minus,man
Kevin Kadish,man
Gucci Mane,man
Kodak Black,man
Joel Little,man
Blueface,man
Scum Beatz,man
Iceberg,man
JD on tha Track,unknown
Lil Tjay,man
Alex Killer,man
Noah Assad,unknown
Francis Diaz,man
DJ Luian,man
Elvin Peña,unknown
Henry Pulman,man
Edgar Wilmer Semper-Vargas,man
Xavier Alexis Semper-Vargas,man
DJ Dahi,man
J White,man
Shelia Young,unknown
LaShawn Daniels,man
Hitmaka,man
Michael Jackson,man
Fred Jerkins,man
Nora Payne,man
Prince Chrishan,man
Ray McCullough,unknown
Jeremy Reeves,man
Ray Romulus,man
Jonathan Yip,man
Kevin “She’kspere” Briggs,man
Kandi,woman
Lil Tecca,man
Taz Taylor,man
Asoteric,unknown
Ljay Currie,unknown
Cydney Christine,unknown
Rick Ross,man
Luke Hemmings,man
Calum Hood,man
Ashton Irwin,man
Christina Brittany Gandy‐Rogers,woman
M. Prince,unknown
J. Thomas,unknown
Valentin Leon Blavatnik,unknown
Jessie Lauryn Foutz,unknown
Teddy Geiger,woman
Nate Mercereau,man
Cook,man
TIX,man
Trent Reznor,man
Atticus Ross,man
YoungKio,man
Jonas Jeberg,man
Ilsey Juber,woman
Lauren Pritchard,woman
Jenny Owen Youngs,woman
Starrah,woman
Mikkel Storleer Eriksen,man
Tor Erik Hermansen,man
Anthony Rossomando,man
Meek Mill,man
Westen Weiss,man
Halsey,non-binary
Pooh Beatz,man
Carl Rosen,man
Charlie Brown,man
Busta Rhymes,man
Harry Wayne Casey,man
Cyhi the Prynce,man
Mirsad Dervic,unknown
Dinco D,man
Easy Mo Bee,man
Richard Finch,man
Fredro Starr,man
Kevin Gomringer,man
Tim Gomringer,man
Guru,man
H.A.W.K.,man
Hit‐Boy,man
Luke,man
Ali Shaheed Muhammad,man
The Notorious B.I.G.,man
Chylow Parker,man
Phife Dawg,man
DJ Premier,man
Q‐Tip,man
Sticky Fingaz,man
Tyrone Taylor,man
Kaydence,woman
Njomza,woman
Scott Storch,man
Timbaland,man
Justin Timberlake,man
Dan Smith,man
Oscar Hammerstein II,man
Jason Dean,man
MNEK,man
Larzz Principato,man
Jean‐Marie Horvat,man
Mally Mall,man
Slim Jxmmi,man
Steven Battey,man
Sammy Mitchell,unknown
Sean McConnell,man
Brett Young,man
John Cunningham,man
PnB Rock,man
XXXTENTACION,man
Ramón Ayala,man
Rome,woman
DJ Urba,man
Ben Billions,man
Elina,woman
Dayo Olatunji,woman
Victor Rådström,man
Jordan Oritz,unknown
Danja,man
Larrance Dopson,man
Pharrell Williams,man
Brian Kelley,man
James Blake,man
Future,man
Antwon Hicks,man
Jay Rock,man
Nicolas Jaar,man
Lindsay Rimes,man
Rickard Göransson,man
Talay Riley,man
Jessie Reyez,woman
Adam Wiles,man
Tameka “Tiny” Cottle,woman
Nicholas Balding,man
DJ Khaled,man
Sir Nolan,man
David Park,man
Melvin Riley Jr.,man
MAX,man
Nathaniel Motte,man
Liam O’Donnell,unknown
Jason Aldean,man
DJ Frank E,man
2 Chainz,man
Big Sean,man
Nye Lee Jr.,unknown
YG,man
Cheeze Beatz,man
DJ Official,man
Josiah Muhammad,unknown
Irvin Whitlow,unknown
Chris Comstock,man
Alan Bergman,man
Marilyn Bergman,woman
Ghostface Killah,man
GZA/Genius,man
Marvin Hamlisch,man
Lauryn Hill,woman
Inspectah Deck,man
Method Man,man
Ol’ Dirty Bastard,man
Raekwon,man
RZA,man
U‐God,man
The Lab Cook,unknown
Rich the Kid,man
David Burd,man
Zaire Koalo,man
Demi Lovato,non-binary
Oak,man
Trevorious,man
No I.D.,man
Donald Glover,man
Al Shux,man
Anthony Tiffith,man
Geoff Warburton,man
The Futuristics,group
G‐Eazy,man
Joe Khajadourian,man
Alex Schwartz,man
Gnealz,man
Lil Pump,man
Brenden Murray,man
Micah Premnath,man
Diederik van Elsas,unknown
Parrish Warrington,unknown
Jerel Nance,unknown
Lauv,man
Matosic,man
Robert Bateman,unknown
Zachary Scott Carothers,man
Freddie Gorman,man
John Baldwin Gourley,man
John Hill,man
Eric Howk,man
Zoe Manville,woman
Kyle O'Quin,unknown
Jason Wade Sechrist,man
Asa Taccone,man
A$AP Rocky,man
Jay Anthony Fort,man
Klenord Fort,unknown
Allen Ritter,man
Earl Patrick Taylor,man
NF,man
Tommee Profitt,man
BlocBoy JB,man
Anne-Marie,woman
Nat Dunn,woman
Cardo,woman
Brock Korsan,man
Yung Exclusive,man
Birdman,man
Orville Hall,man
Loon,man
Mannie Fresh,man
Phillip Glen Price,man
Noonie Bao,woman
Rami Dawod,man
Jacob Olofsson,man
Sasha Yatchenko,unknown
Joelle James,woman
Alex da Kid,man
Jayson DeZuzio,man
Olufunmibi Awoshiley,unknown
Joey Bada$$,man
David Garcia,man
Sarah Aarons,woman
Marcus Lomax,man
Kyle Trewartha,man
Michael Trewartha,man
Zedd,man
